ts,version,battery_percent,mode,mode_name,heart_bpm,flags,fall,high_stress,obstacle_near,obstacle_imminent,sensor_status,imu_valid,ultra_left_valid,ultra_right_valid,matrix_head_valid,matrix_waist_valid,pulse_valid,battery_valid,imu_ax_ms2,imu_ay_ms2,imu_az_ms2,ultra_left_mm,ultra_right_mm,matrix_head_mm,matrix_waist_mm,heart_raw
2026-04-16T17:21:25.444,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,0.23,-6.68,7.32,65535,65535,65535,65535,0
2026-04-16T17:21:25.668,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,0.23,-6.67,7.32,65535,65535,65535,65535,0
2026-04-16T17:21:25.849,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,0.23,-6.68,7.33,65535,65535,65535,65535,0
2026-04-16T17:21:26.090,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,0.23,-6.67,7.33,65535,65535,65535,65535,0
2026-04-16T17:21:26.269,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,0.24,-6.66,7.33,65535,65535,65535,65535,0
2026-04-16T17:21:26.809,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,0.23,-6.67,7.33,65535,65535,65535,65535,0
2026-04-16T17:21:26.989,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,0.24,-6.68,7.32,65535,65535,65535,65535,0
2026-04-16T17:21:27.229,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,0.23,-6.68,7.32,65535,65535,65535,65535,0
2026-04-16T17:21:27.409,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,0.24,-6.68,7.32,65535,65535,65535,65535,0
2026-04-16T17:21:27.589,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,0.24,-6.67,7.33,65535,65535,65535,65535,0
2026-04-16T17:21:27.830,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,0.23,-6.67,7.32,65535,65535,65535,65535,0
2026-04-16T17:21:28.009,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,0.24,-6.69,7.32,65535,65535,65535,65535,0
2026-04-16T17:21:28.250,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,0.25,-6.68,7.33,65535,65535,65535,65535,0
2026-04-16T17:21:28.429,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,0.23,-6.67,7.34,65535,65535,65535,65535,0
2026-04-16T17:21:28.609,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,0.23,-6.68,7.34,65535,65535,65535,65535,0
2026-04-16T17:21:28.849,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,0.23,-6.68,7.33,65535,65535,65535,65535,0
2026-04-16T17:21:29.029,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,0.23,-6.68,7.33,65535,65535,65535,65535,0
2026-04-16T17:21:29.270,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,0.23,-6.68,7.32,65535,65535,65535,65535,0
2026-04-16T17:21:29.449,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,0.23,-6.69,7.32,65535,65535,65535,65535,0
