ts,version,battery_percent,mode,mode_name,heart_bpm,flags,fall,high_stress,obstacle_near,obstacle_imminent,sensor_status,imu_valid,ultra_left_valid,ultra_right_valid,matrix_head_valid,matrix_waist_valid,pulse_valid,battery_valid,imu_ax_ms2,imu_ay_ms2,imu_az_ms2,ultra_left_mm,ultra_right_mm,matrix_head_mm,matrix_waist_mm,heart_raw
2026-04-16T17:24:53.092,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.61,-1.67,7.35,65535,65535,65535,65535,0
2026-04-16T17:24:53.333,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.9,-0.53,7.52,65535,65535,65535,65535,0
2026-04-16T17:24:53.514,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.45,-2.21,6.34,65535,65535,65535,65535,0
2026-04-16T17:24:53.753,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.87,-1.27,7.01,65535,65535,65535,65535,0
2026-04-16T17:24:53.934,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.15,-1.69,7.12,65535,65535,65535,65535,0
2026-04-16T17:24:54.114,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.71,-2.0,6.08,65535,65535,65535,65535,0
2026-04-16T17:24:54.353,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.37,-2.29,9.49,65535,65535,65535,65535,0
2026-04-16T17:24:54.593,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.35,-1.49,6.72,65535,65535,65535,65535,0
2026-04-16T17:24:54.774,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.75,-0.96,7.86,65535,65535,65535,65535,0
2026-04-16T17:24:54.953,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.88,-1.64,6.61,65535,65535,65535,65535,0
2026-04-16T17:24:55.135,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.89,-1.46,7.78,65535,65535,65535,65535,0
2026-04-16T17:24:55.374,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.24,-2.92,7.6,65535,65535,65535,65535,0
2026-04-16T17:24:55.553,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,4.66,-2.07,7.57,65535,65535,65535,65535,0
2026-04-16T17:24:55.793,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.71,-1.29,10.14,65535,65535,65535,65535,0
2026-04-16T17:24:55.973,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.38,-1.37,8.0,65535,65535,65535,65535,0
2026-04-16T17:24:56.153,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.0,-1.28,6.82,65535,65535,65535,65535,0
2026-04-16T17:24:56.393,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.58,-0.98,5.6,65535,65535,65535,65535,0
2026-04-16T17:24:56.573,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.83,-2.27,6.77,65535,65535,65535,65535,0
2026-04-16T17:24:56.814,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.94,-3.27,7.61,65535,65535,65535,65535,0
2026-04-16T17:24:56.993,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.03,-2.95,6.17,65535,65535,65535,65535,0
2026-04-16T17:24:57.174,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.68,-3.19,5.57,65535,65535,65535,65535,0
2026-04-16T17:24:57.413,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.36,-0.88,6.54,65535,65535,65535,65535,0
2026-04-16T17:24:57.593,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.55,-3.38,8.3,65535,65535,65535,65535,0
2026-04-16T17:24:57.834,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.66,-2.8,7.47,65535,65535,65535,65535,0
2026-04-16T17:24:58.013,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.64,-2.63,6.47,65535,65535,65535,65535,0
2026-04-16T17:24:58.193,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,8.75,-2.75,8.74,65535,65535,65535,65535,0
2026-04-16T17:24:58.433,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.82,-3.38,5.87,65535,65535,65535,65535,0
2026-04-16T17:24:58.613,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.09,-3.59,6.04,65535,65535,65535,65535,0
2026-04-16T17:24:58.853,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.64,-0.96,8.1,65535,65535,65535,65535,0
2026-04-16T17:24:59.033,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.66,-2.63,8.14,65535,65535,65535,65535,0
2026-04-16T17:24:59.213,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.94,-2.18,7.7,65535,65535,65535,65535,0
2026-04-16T17:24:59.454,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.86,-1.85,6.44,65535,65535,65535,65535,0
2026-04-16T17:24:59.633,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,8.02,-4.91,8.98,65535,65535,65535,65535,0
2026-04-16T17:24:59.873,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,8.19,-3.32,6.37,65535,65535,65535,65535,0
2026-04-16T17:25:00.053,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.78,-3.1,6.19,65535,65535,65535,65535,0
2026-04-16T17:25:00.293,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.4,-1.98,8.73,65535,65535,65535,65535,0
2026-04-16T17:25:00.473,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.02,-3.45,5.91,65535,65535,65535,65535,0
2026-04-16T17:25:00.655,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.04,-2.38,6.07,65535,65535,65535,65535,0
2026-04-16T17:25:00.894,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.59,-3.97,6.64,65535,65535,65535,65535,0
2026-04-16T17:25:01.073,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.32,-5.51,3.5,65535,65535,65535,65535,0
2026-04-16T17:25:01.314,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,8.14,-2.98,3.74,65535,65535,65535,65535,0
2026-04-16T17:25:01.493,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.22,1.17,5.44,65535,65535,65535,65535,0
2026-04-16T17:25:01.673,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.04,-4.14,6.08,65535,65535,65535,65535,0
2026-04-16T17:25:01.914,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.2,-3.18,6.26,65535,65535,65535,65535,0
2026-04-16T17:25:02.093,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,8.24,-5.51,7.65,65535,65535,65535,65535,0
2026-04-16T17:25:02.333,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,8.32,-2.22,6.2,65535,65535,65535,65535,0
2026-04-16T17:25:02.514,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.96,-2.5,8.51,65535,65535,65535,65535,0
2026-04-16T17:25:02.693,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.23,-4.06,6.87,65535,65535,65535,65535,0
2026-04-16T17:25:02.933,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.73,-4.34,6.95,65535,65535,65535,65535,0
2026-04-16T17:25:03.113,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,8.55,-4.21,4.83,65535,65535,65535,65535,0
2026-04-16T17:25:03.355,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,8.22,-1.6,6.41,65535,65535,65535,65535,0
2026-04-16T17:25:03.533,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.38,-4.24,6.97,65535,65535,65535,65535,0
2026-04-16T17:25:03.714,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.1,-0.38,5.74,65535,65535,65535,65535,0
2026-04-16T17:25:03.954,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.83,-3.19,5.45,65535,65535,65535,65535,0
2026-04-16T17:25:04.194,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.94,-1.96,6.93,65535,65535,65535,65535,0
2026-04-16T17:25:04.373,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.92,-3.04,7.32,65535,65535,65535,65535,0
2026-04-16T17:25:04.613,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.5,-2.99,6.51,65535,65535,65535,65535,0
2026-04-16T17:25:04.733,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.97,-2.51,8.06,65535,65535,65535,65535,0
2026-04-16T17:25:04.975,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.56,-1.98,9.48,65535,65535,65535,65535,0
2026-04-16T17:25:05.153,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,4.51,-3.4,8.43,65535,65535,65535,65535,0
2026-04-16T17:25:05.393,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.81,-4.11,9.07,65535,65535,65535,65535,0
2026-04-16T17:25:05.574,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.41,-3.34,6.32,65535,65535,65535,65535,0
2026-04-16T17:25:05.754,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.35,-3.72,7.2,65535,65535,65535,65535,0
2026-04-16T17:25:05.994,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.36,-2.52,7.15,65535,65535,65535,65535,0
2026-04-16T17:25:06.173,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.7,-2.66,8.22,65535,65535,65535,65535,0
2026-04-16T17:25:06.413,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.8,-3.68,7.54,65535,65535,65535,65535,0
2026-04-16T17:25:06.593,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.94,-2.6,7.87,65535,65535,65535,65535,0
2026-04-16T17:25:06.774,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.93,-4.16,8.75,65535,65535,65535,65535,0
2026-04-16T17:25:07.016,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.42,-2.53,6.11,65535,65535,65535,65535,0
2026-04-16T17:25:07.193,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,4.25,-4.6,4.55,65535,65535,65535,65535,0
2026-04-16T17:25:07.433,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,5.47,-4.01,7.67,65535,65535,65535,65535,0
2026-04-16T17:25:07.613,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,6.88,-3.88,11.38,65535,65535,65535,65535,0
2026-04-16T17:25:07.854,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.44,-1.95,5.77,65535,65535,65535,65535,0
2026-04-16T17:25:08.033,4,0,0,NORMAL,0,0,False,False,False,False,97,True,False,False,False,False,True,True,7.75,-1.76,6.85,65535,65535,65535,65535,0
