ts,version,battery_percent,mode,mode_name,heart_bpm,flags,fall,high_stress,obstacle_near,obstacle_imminent
2026-04-16T16:24:39.664,2,0,0,NORMAL,0,0,False,False,False,False
2026-04-16T16:24:39.844,2,0,0,NORMAL,0,0,False,False,False,False
2026-04-16T16:24:40.084,2,0,0,NORMAL,0,0,False,False,False,False
2026-04-16T16:24:40.264,2,0,0,NORMAL,0,0,False,False,False,False
2026-04-16T16:24:40.504,2,0,0,NORMAL,0,0,False,False,False,False
2026-04-16T16:24:40.684,2,0,0,NORMAL,0,0,False,False,False,False
2026-04-16T16:24:40.924,2,0,0,NORMAL,0,0,False,False,False,False
2026-04-16T16:24:41.104,2,0,0,NORMAL,0,0,False,False,False,False
2026-04-16T16:24:41.284,2,0,0,NORMAL,0,0,False,False,False,False
2026-04-16T16:24:41.523,2,0,0,NORMAL,0,0,False,False,False,False
2026-04-16T16:24:41.704,2,0,0,NORMAL,0,0,False,False,False,False
2026-04-16T16:24:41.943,2,0,0,NORMAL,0,0,False,False,False,False
2026-04-16T16:24:42.124,2,0,0,NORMAL,0,0,False,False,False,False
2026-04-16T16:24:42.364,2,0,0,NORMAL,0,0,False,False,False,False
2026-04-16T16:24:42.544,2,0,0,NORMAL,0,0,False,False,False,False
2026-04-16T16:24:42.723,2,0,0,NORMAL,0,0,False,False,False,False
