ts,version,battery_percent,mode,mode_name,heart_bpm,flags,fall,high_stress,obstacle_near,obstacle_imminent,imu_ax_ms2,imu_ay_ms2,imu_az_ms2,ultra_left_mm,ultra_right_mm,matrix_head_mm,matrix_waist_mm,matrix_head_valid,matrix_waist_valid,ultra_left_zone,ultra_right_zone,matrix_head_zone,matrix_waist_zone
2026-04-16 16:56:50.299,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,58,40,292,103,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:50.479,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,250,104,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:50.660,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,291,102,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:50.898,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,296,106,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:51.079,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,300,105,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:51.319,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,59,40,310,105,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:51.498,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,305,105,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:51.738,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,308,105,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:51.918,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,299,106,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:52.098,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,297,106,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:52.338,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,294,104,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:52.518,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,298,106,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:52.758,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,294,106,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:52.942,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,290,108,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:53.118,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,288,107,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:53.358,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,286,105,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:53.538,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,293,107,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:53.779,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,291,106,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:53.958,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,291,105,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:54.199,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,59,40,289,104,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:54.378,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,292,105,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:54.558,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,289,105,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:54.799,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,298,104,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:54.978,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,297,105,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:55.219,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,294,107,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:55.398,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,293,106,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:55.579,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,296,106,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:55.819,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,294,106,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:55.998,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,295,107,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:56.238,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,58,40,293,103,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:56.419,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,291,102,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:56.659,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,302,102,True,True,imminent,imminent,near,imminent
