ts,version,battery_percent,mode,mode_name,heart_bpm,flags,fall,high_stress,obstacle_near,obstacle_imminent,imu_ax_ms2,imu_ay_ms2,imu_az_ms2,ultra_left_mm,ultra_right_mm,matrix_head_mm,matrix_waist_mm,matrix_head_valid,matrix_waist_valid,heart_bpm_roll,heart_above_high,heart_below_low,battery_low,stress_score,virtual_mode_default,virtual_mode_conservative,mode_delta_default,mode_delta_conservative,imu_accel_mag_ms2
2026-04-16 16:39:51.902,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,338,295,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:52.143,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,343,298,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:52.323,3,0,0,NORMAL,0,0,False,False,False,False,0.0,-10.81,-6.38,70,50,338,297,True,True,0.0,False,True,True,0,1,1,1,1,12.552310544278294
2026-04-16 16:39:52.563,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,341,296,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:52.743,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,345,301,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:52.922,3,0,0,NORMAL,0,0,False,False,False,False,-15.68,-15.68,0.0,70,50,344,294,True,True,0.0,False,True,True,0,1,1,1,1,22.17486865801013
2026-04-16 16:39:53.163,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,346,300,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:53.343,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,339,301,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:53.582,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,345,297,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:53.763,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,337,288,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:53.943,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,345,297,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:54.182,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,339,302,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:54.363,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,338,302,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:54.663,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,338,294,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:54.782,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,339,297,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:55.023,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,337,297,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:55.203,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.01,70,50,342,298,True,True,0.0,False,True,True,0,1,1,1,1,0.01
2026-04-16 16:39:55.383,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,51,341,301,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:55.623,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,342,296,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:55.803,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,343,295,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:56.043,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,342,300,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:56.223,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,343,296,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:56.403,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,343,297,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:56.643,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,344,294,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:56.822,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,51,342,299,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:57.063,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,341,297,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:57.243,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,339,298,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:57.482,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,343,294,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:57.663,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,343,293,True,True,0.0,False,True,True,0,1,1,1,1,0.0
