ts,version,battery_percent,mode,mode_name,heart_bpm,flags,fall,high_stress,obstacle_near,obstacle_imminent,imu_ax_ms2,imu_ay_ms2,imu_az_ms2,ultra_left_mm,ultra_right_mm,matrix_head_mm,matrix_waist_mm,matrix_head_valid,matrix_waist_valid
2026-04-16T16:48:28.744,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,366,331,True,True
2026-04-16T16:48:28.954,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,51,399,329,True,True
2026-04-16T16:48:29.195,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,51,393,334,True,True
2026-04-16T16:48:29.419,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,399,337,True,True
2026-04-16T16:48:29.645,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,363,330,True,True
2026-04-16T16:48:29.885,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,343,326,True,True
2026-04-16T16:48:30.065,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,51,327,303,True,True
2026-04-16T16:48:30.307,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,313,283,True,True
2026-04-16T16:48:30.605,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,303,255,True,True
2026-04-16T16:48:30.784,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,300,248,True,True
2026-04-16T16:48:30.965,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,291,229,True,True
2026-04-16T16:48:31.205,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,317,253,True,True
2026-04-16T16:48:31.445,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,343,308,True,True
2026-04-16T16:48:31.684,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,369,325,True,True
2026-04-16T16:48:31.865,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,377,330,True,True
2026-04-16T16:48:32.106,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,351,328,True,True
2026-04-16T16:48:32.345,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,364,324,True,True
2026-04-16T16:48:32.525,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,328,318,True,True
2026-04-16T16:48:32.766,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,341,304,True,True
2026-04-16T16:48:32.945,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,303,277,True,True
2026-04-16T16:48:33.124,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,300,248,True,True
2026-04-16T16:48:33.364,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,304,245,True,True
2026-04-16T16:48:33.605,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,301,247,True,True
2026-04-16T16:48:33.784,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,316,251,True,True
2026-04-16T16:48:33.965,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,316,261,True,True
2026-04-16T16:48:34.144,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,321,278,True,True
2026-04-16T16:48:34.384,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,332,293,True,True
2026-04-16T16:48:34.564,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,338,311,True,True
2026-04-16T16:48:34.837,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,342,315,True,True
2026-04-16T16:48:34.984,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,80,50,358,321,True,True
2026-04-16T16:48:35.224,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,364,331,True,True
2026-04-16T16:48:35.404,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,370,334,True,True
2026-04-16T16:48:35.645,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,349,294,True,True
2026-04-16T16:48:35.824,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,364,221,True,True
2026-04-16T16:48:36.065,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,374,234,True,True
2026-04-16T16:48:36.250,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,365,240,True,True
2026-04-16T16:48:36.485,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,361,256,True,True
2026-04-16T16:48:36.665,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,51,344,252,True,True
2026-04-16T16:48:36.845,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,344,249,True,True
2026-04-16T16:48:37.086,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,51,342,250,True,True
2026-04-16T16:48:37.265,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,347,252,True,True
2026-04-16T16:48:37.505,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,344,254,True,True
2026-04-16T16:48:37.685,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,338,241,True,True
2026-04-16T16:48:37.866,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,341,237,True,True
2026-04-16T16:48:38.105,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,332,244,True,True
2026-04-16T16:48:38.285,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,318,254,True,True
2026-04-16T16:48:38.524,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,303,261,True,True
2026-04-16T16:48:38.704,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,51,297,269,True,True
2026-04-16T16:48:38.945,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,295,264,True,True
2026-04-16T16:48:39.125,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,293,264,True,True
2026-04-16T16:48:39.306,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,314,244,True,True
2026-04-16T16:48:39.545,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,325,242,True,True
2026-04-16T16:48:39.725,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,414,221,True,True
2026-04-16T16:48:39.965,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,437,232,True,True
2026-04-16T16:48:40.144,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,480,333,True,True
2026-04-16T16:48:40.325,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,485,356,True,True
2026-04-16T16:48:40.565,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,471,342,True,True
2026-04-16T16:48:40.745,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,455,257,True,True
2026-04-16T16:48:40.985,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,453,270,True,True
2026-04-16T16:48:41.167,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,493,279,True,True
2026-04-16T16:48:41.404,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,532,281,True,True
2026-04-16T16:48:41.645,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,680,289,True,True
2026-04-16T16:48:41.764,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,65535,358,False,True
2026-04-16T16:48:42.006,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,50,65535,391,False,True
