ts,version,battery_percent,mode,mode_name,heart_bpm,flags,fall,high_stress,obstacle_near,obstacle_imminent,heart_bpm_roll,heart_above_high,heart_below_low,battery_low,stress_score,virtual_mode_default,virtual_mode_conservative,mode_delta_default,mode_delta_conservative
2026-04-16 16:25:23.883,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:24.063,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:24.304,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:24.483,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:24.723,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:24.903,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:25.083,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:25.323,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:25.503,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:25.743,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:25.923,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:26.164,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:26.343,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:26.523,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:26.764,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:26.943,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:27.184,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:27.363,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:27.603,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:27.783,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:28.024,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:28.203,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:28.383,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:28.623,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:28.803,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:29.042,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:29.223,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:29.464,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:29.643,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:29.823,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:30.063,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:30.242,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:30.483,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:30.663,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:30.903,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:31.083,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:31.323,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:31.503,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:31.682,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:31.923,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:32.164,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:32.343,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
2026-04-16 16:25:32.523,2,0,0,NORMAL,0,0,False,False,False,False,0.0,False,True,True,0,1,1,1,1
