ts,version,battery_percent,mode,mode_name,heart_bpm,flags,fall,high_stress,obstacle_near,obstacle_imminent,imu_ax_ms2,imu_ay_ms2,imu_az_ms2,ultra_left_mm,ultra_right_mm,matrix_head_mm,matrix_waist_mm,matrix_head_valid,matrix_waist_valid
2026-04-16T16:32:40.338,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,90,80,39,95,True,True
2026-04-16T16:32:40.547,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,80,80,40,95,True,True
2026-04-16T16:32:40.757,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,80,38,97,True,True
2026-04-16T16:32:40.952,3,0,0,NORMAL,0,0,False,False,False,False,0.0,13.3,9.8,50,80,39,92,True,True
2026-04-16T16:32:41.208,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,80,34,86,True,True
2026-04-16T16:32:41.403,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,60,80,40,88,True,True
2026-04-16T16:32:41.643,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,50,80,44,91,True,True
2026-04-16T16:32:41.822,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,80,48,93,True,True
2026-04-16T16:32:42.003,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,50,80,46,97,True,True
2026-04-16T16:32:42.243,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,60,70,49,101,True,True
2026-04-16T16:32:42.483,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,60,70,56,108,True,True
2026-04-16T16:32:42.663,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,60,70,69,142,True,True
2026-04-16T16:32:42.902,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,60,70,63,141,True,True
2026-04-16T16:32:43.083,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,59,70,85,141,True,True
2026-04-16T16:32:43.263,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,58,70,131,142,True,True
2026-04-16T16:32:43.563,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,70,162,143,True,True
2026-04-16T16:32:43.803,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,50,70,647,142,True,True
2026-04-16T16:32:44.043,3,0,0,NORMAL,0,0,False,False,False,False,0.0,13.3,9.8,49,70,517,143,True,True
2026-04-16T16:32:44.223,3,0,0,NORMAL,0,0,False,False,False,False,0.0,1.59,-3.35,50,70,649,142,True,True
2026-04-16T16:32:44.403,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,50,70,641,140,True,True
2026-04-16T16:32:44.643,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,50,70,666,142,True,True
2026-04-16T16:32:44.882,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,70,669,142,True,True
2026-04-16T16:32:45.123,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,70,634,142,True,True
2026-04-16T16:32:45.303,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,70,367,142,True,True
2026-04-16T16:32:45.543,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,70,660,142,True,True
2026-04-16T16:32:45.783,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,50,70,649,143,True,True
2026-04-16T16:32:46.023,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,49,70,655,142,True,True
2026-04-16T16:32:46.203,3,0,0,NORMAL,0,0,False,False,False,False,0.0,13.3,9.8,50,70,639,140,True,True
2026-04-16T16:32:46.443,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,50,80,665,141,True,True
2026-04-16T16:32:46.743,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,49,70,704,142,True,True
2026-04-16T16:32:46.922,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,50,70,649,142,True,True
2026-04-16T16:32:47.103,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,48,70,682,141,True,True
2026-04-16T16:32:47.283,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,70,661,142,True,True
2026-04-16T16:32:47.523,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,70,422,143,True,True
2026-04-16T16:32:47.703,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,70,366,141,True,True
2026-04-16T16:32:47.943,3,0,0,NORMAL,0,0,False,False,False,False,0.0,13.3,9.8,48,70,316,141,True,True
2026-04-16T16:32:48.123,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,49,80,379,141,True,True
2026-04-16T16:32:48.363,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,50,70,394,142,True,True
2026-04-16T16:32:48.543,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,70,214,142,True,True
2026-04-16T16:32:48.723,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,50,80,74,81,True,True
2026-04-16T16:32:48.962,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,50,70,41,51,True,True
2026-04-16T16:32:49.203,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,50,70,60,70,True,True
2026-04-16T16:32:49.383,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,70,112,128,True,True
2026-04-16T16:32:49.563,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,80,313,142,True,True
2026-04-16T16:32:49.803,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,80,223,143,True,True
2026-04-16T16:32:49.983,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,70,353,143,True,True
2026-04-16T16:32:50.223,3,0,0,NORMAL,0,0,False,False,False,False,0.0,13.3,9.8,50,80,338,141,True,True
2026-04-16T16:32:50.403,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,50,80,119,134,True,True
2026-04-16T16:32:50.644,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,70,68,88,True,True
2026-04-16T16:32:50.822,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,50,70,51,68,True,True
2026-04-16T16:32:51.003,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,70,321,142,True,True
2026-04-16T16:32:51.243,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,50,70,287,141,True,True
2026-04-16T16:32:51.423,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.0,9.8,50,70,271,142,True,True
2026-04-16T16:32:51.663,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,70,275,142,True,True
2026-04-16T16:32:51.843,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.0,9.8,50,70,270,143,True,True
2026-04-16T16:32:52.023,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,50,70,260,142,True,True
2026-04-16T16:32:52.263,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,70,267,142,True,True
2026-04-16T16:32:52.442,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,70,260,141,True,True
2026-04-16T16:32:52.683,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,70,264,143,True,True
2026-04-16T16:32:52.863,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,50,70,264,142,True,True
2026-04-16T16:32:53.103,3,0,0,NORMAL,0,0,False,False,False,False,0.0,13.3,9.8,50,70,257,142,True,True
2026-04-16T16:32:53.283,3,0,0,NORMAL,0,0,False,False,False,False,9.8,1.71,0.0,50,70,261,144,True,True
2026-04-16T16:32:53.463,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,50,80,258,142,True,True
2026-04-16T16:32:53.703,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,50,80,261,142,True,True
2026-04-16T16:32:53.944,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,80,258,142,True,True
2026-04-16T16:32:54.183,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,50,80,260,142,True,True
2026-04-16T16:32:54.302,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,50,80,255,142,True,True
2026-04-16T16:32:54.483,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,80,260,142,True,True
2026-04-16T16:32:54.723,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,80,262,141,True,True
2026-04-16T16:32:54.903,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,80,257,143,True,True
2026-04-16T16:32:55.143,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,49,80,251,143,True,True
2026-04-16T16:32:55.383,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,80,254,143,True,True
2026-04-16T16:32:55.563,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,50,80,263,142,True,True
